type,brand,model,mobility_sweden_name,url,source_type,verification_status,confidence,safe_to_use,notes
source_url,Kia,EV5,KIA EV5,https://www.kia.com/se/nya-bilar/ev5/specifikationer/,manufacturer_specs_page,pattern_inferred,high,true,"Same Kia pattern."
source_url,Kia,EV5,KIA EV5,https://www.kia.com/se/kopa/prislista/,manufacturer_price_list,verified_reachable,high,true,"Shared Kia price list."
source_url,Kia,EV5,KIA EV5,https://www.kia.com/se/kopa/bygg-din-kia/#/ev5,manufacturer_configurator,pattern_inferred,high,true,"Same Kia pattern."
source_url,Skoda,Enyaq,SKODA ENYAQ,https://www.skoda.se/modeller/enyaq/,manufacturer_model_page,verified_reachable,high,true,"Verified directly."
source_url,Skoda,Enyaq,SKODA ENYAQ,https://www.skoda.se/_doc/1d23f075-2685-40f9-ad6f-a31b09f3d660,manufacturer_price_list,unstable_dynamic,medium,conditional,"PDF with rotating UUID filename. Discovery script must re-resolve from model page DOM each run. Cannot hardcode."
source_url,Skoda,Enyaq,SKODA ENYAQ,https://clg.skoda-auto.com,manufacturer_configurator,verified_reachable,medium,conditional,"External Skoda configurator domain shared across EU markets. Requires JS rendering for vehicle data."
source_url,Volkswagen,ID.4,VW ID.4,https://www.volkswagen.se/sv/elbilar/vara-elbilar/id4.html,manufacturer_model_page,pattern_inferred,medium,conditional,"VW pattern: /elbilar/vara-elbilar/idN.html (verified for ID.7, ID.3). Inferred for ID.4."
source_url,Volkswagen,ID.4,VW ID.4,https://www.volkswagen.se/sv/elbilar/vara-elbilar/id4/konfigurator.html,manufacturer_configurator,pattern_inferred,low,false,"Configurator subpath inferred — VW uses different configurator entry points across models. Verify or use bygg-din-bil.html portal."
source_url,Kia,EV9,KIA EV9,https://www.kia.com/se/nya-bilar/ev9/upptack/,manufacturer_model_page,pattern_inferred,high,true,"Same Kia pattern."
source_url,Kia,EV9,KIA EV9,https://www.kia.com/se/nya-bilar/ev9/specifikationer/,manufacturer_specs_page,pattern_inferred,high,true,"Same Kia pattern."
source_url,Kia,EV9,KIA EV9,https://www.kia.com/se/kopa/prislista/,manufacturer_price_list,verified_reachable,high,true,"Shared Kia price list."
source_url,Kia,EV9,KIA EV9,https://www.kia.com/se/kopa/bygg-din-kia/#/ev9,manufacturer_configurator,pattern_inferred,high,true,"Same Kia pattern."
source_url,Mercedes-Benz,EQA,MERCEDES EQA,https://www.mercedes-benz.se/passengercars/models/suv/eqa/overview.html,manufacturer_model_page,verified_via_search,high,true,"Verified via Google. Mercedes pattern: /passengercars/models/{bodytype}/{model}/overview.html."
source_url,Mercedes-Benz,EQA,MERCEDES EQA,https://www.mercedes-benz.se/passengercars/models/suv/eqa/specifications.html,manufacturer_specs_page,pattern_inferred,medium,conditional,"Subpath inferred from /overview.html sibling. Mercedes site times out on programmatic fetch — verify in browser."
source_url,Mercedes-Benz,EQA,MERCEDES EQA,https://www.mercedes-benz.se/passengercars/mercedes-benz-cars/models/eqa/explore.html?urlReference=937cb25de1b4467c85b1a4b7fcb32810,manufacturer_specs_page,verified_via_search,high,true,"Official Swedish Mercedes-Benz EQA price/specification page surfaced by Mercedes search index. Use as preferred extractable EQA source when overview text lacks technical data."
source_url,Mercedes-Benz,EQA,MERCEDES EQA,https://www.mercedes-benz.se/passengercars/buy/new-car/configurator.html,manufacturer_configurator,verified_via_search,medium,conditional,"Shared configurator entry across Mercedes models. Requires deeper navigation per model."
source_url,Renault,5 E-Tech,RENAULT 5,https://www.renault.se/personbilar/elbilar/r5-e-tech-electric,manufacturer_model_page,verified_via_search,high,true,"Verified via Google. Stable URL."
source_url,Renault,5 E-Tech,RENAULT 5,https://www.renault.se/personbilar/elbilar/r5-e-tech-electric/versioner_och_priser,manufacturer_price_list,verified_via_search,high,true,"Combined specs + price page. Single source for both."
source_url,Renault,5 E-Tech,RENAULT 5,https://www.renault.se/personbilar/elbilar/r5-e-tech-electric/versioner_och_priser,manufacturer_specs_page,verified_via_search,high,true,"Same combined page."
source_url,BMW,iX1,BMW IX1,https://www.bmw.se/sv/alla-modeller/i-series/ix1/bmw-ix1.html,manufacturer_model_page,verified_via_search,high,true,"Verified via Google. BMW SE URL."
source_url,BMW,iX1,BMW IX1,https://www.bmw.se/sv/alla-modeller/i-series/ix1/bmw-ix1-tekniska-data.html,manufacturer_specs_page,verified_via_search,high,true,"Corrected from current BMW Sweden indexed technical data URL."
source_url,BMW,iX1,BMW IX1,https://hitta.bmw.se/r/U11-iX1,manufacturer_configurator,verified_via_search,high,conditional,"Configurator on hitta.bmw.se subdomain. Requires JS rendering."
source_url,Mercedes-Benz,CLA EQ,MERCEDES CLA,https://www.mercedes-benz.se/passengercars/cars-guide/fleet-business/modeller/cla-eq.html,manufacturer_model_page,verified_via_search,high,true,"EV-specific page (CLA with EQ Technology). Disambiguates from ICE CLA."
source_url,Mercedes-Benz,CLA EQ,MERCEDES CLA,https://www.mercedes-benz.se/passengercars/models/saloon/cla/overview.html,manufacturer_model_page,verified_via_search,medium,conditional,"Combined CLA page (ICE + EV). Requires extraction logic to filter to EV variant only."
source_url,Tesla,Model 3,TESLA MODEL 3,https://www.tesla.com/sv_SE/model3,manufacturer_model_page,bot_blocked,high,conditional,"Same blocking as Model Y. Real URL."
source_url,Tesla,Model 3,TESLA MODEL 3,https://www.tesla.com/sv_SE/model3/design,manufacturer_configurator,bot_blocked,high,conditional,"Configurator + pricing on single page."
source_url,BMW,iX3,BMW IX3,https://www.bmw.se/sv/alla-modeller/x-serie/ix3/bmw-ix3.html,manufacturer_model_page,verified_via_search,high,true,"Verified via Google. New 2026 Neue Klasse model under x-serie path."
source_url,BMW,iX3,BMW IX3,https://www.bmw.se/sv/alla-modeller/x-serie/ix3/bmw-ix3-tekniska-data.html,manufacturer_specs_page,verified_via_search,high,true,"Verified pattern."
source_url,BMW,iX3,BMW IX3,https://hitta.bmw.se/r/NA5-iX3,manufacturer_configurator,verified_via_search,high,conditional,"Configurator subdomain."
source_url,Kia,EV6,KIA EV6,https://www.kia.com/se/nya-bilar/ev6/upptack/,manufacturer_model_page,pattern_inferred,high,true,"Same Kia pattern."
source_url,Kia,EV6,KIA EV6,https://www.kia.com/se/nya-bilar/ev6/specifikationer/,manufacturer_specs_page,pattern_inferred,high,true,"Same Kia pattern."
source_url,Kia,EV6,KIA EV6,https://www.kia.com/se/kopa/prislista/,manufacturer_price_list,verified_reachable,high,true,"Shared Kia price list."
source_url,Kia,EV6,KIA EV6,https://www.kia.com/se/kopa/bygg-din-kia/#/ev6,manufacturer_configurator,pattern_inferred,high,true,"Same Kia pattern."
source_url,Audi,Q4 e-tron,AUDI Q4 E-TRON,https://www.audi.se/sv/models/q4-e-tron/,manufacturer_model_page,verified_via_search,high,true,"Verified via Google. Audi SE pattern stable."
source_url,Audi,Q4 e-tron,AUDI Q4 E-TRON,https://www.audi.se/sv/models/q4-e-tron/q4-e-tron/,manufacturer_specs_page,verified_via_search,high,true,"Verified detail page."
source_url,Audi,Q4 e-tron,AUDI Q4 E-TRON,https://www.audi.se/sv/models/q4-e-tron/q4-e-tron/designa/,manufacturer_configurator,verified_via_search,high,conditional,"Audi /designa/ subpath for configurator."
source_url,Audi,A6 e-tron,AUDI A6 E-TRON,https://www.audi.se/sv/models/a6-e-tron/,manufacturer_model_page,verified_via_search,high,true,"Verified via Google. Top-level group page."
source_url,Audi,A6 e-tron,AUDI A6 E-TRON,https://www.audi.se/sv/models/a6-e-tron/a6-sportback-e-tron/,manufacturer_specs_page,url_corrected,high,true,"Corrected: Audi A6 e-tron has body-variant subpaths (a6-sportback-e-tron, a6-avant-e-tron, s6-sportback-e-tron). Original /a6-e-tron/a6-e-tron/ pattern is invalid for this model — only Q4 uses single-variant child. Use sportback as default; treat avant as separate canonical if needed."
source_url,Audi,A6 e-tron,AUDI A6 E-TRON,https://www.audi.se/sv/models/a6-e-tron/a6-sportback-e-tron/designa/,manufacturer_configurator,pattern_inferred,medium,conditional,"Inferred /designa/ subpath."
source_url,BMW,i4,BMW I4,https://www.bmw.se/sv/alla-modeller/i-series/i4/bmw-i4-gran-coupe.html,manufacturer_model_page,url_corrected,high,true,"Corrected: actual page is bmw-i4-gran-coupe.html (with body suffix). Original bmw-i4.html was wrong pattern."
source_url,BMW,i4,BMW I4,https://www.bmw.se/sv/alla-modeller/bmw-i/i4/2021/bmw-i4-tekniska-data.html,manufacturer_specs_page,url_corrected,medium,conditional,"Corrected: tech data sits under bmw-i with /2021/ year segment. Year may rotate when model year updates."
source_url,BMW,i4,BMW I4,https://hitta.bmw.se/r/G26E-i4,manufacturer_configurator,verified_via_search,high,conditional,"Verified via Google. Generation code G26E."
source_url,BMW,i5,BMW I5,https://www.bmw.se/sv/alla-modeller/bmw-i/i5/bmw-i5-oeversikt.html,manufacturer_model_page,verified_via_search,high,true,"Corrected from current BMW Sweden indexed overview URL."
source_url,BMW,i5,BMW I5,https://www.bmw.se/sv/alla-modeller/bmw-i/i5/bmw-i5-tekniska-data.html,manufacturer_specs_page,verified_via_search,high,true,"Corrected from current BMW Sweden indexed technical data URL."
source_url,BMW,i5,BMW I5,https://hitta.bmw.se/r/G60-i5,manufacturer_configurator,pattern_inferred,medium,conditional,"Generation code G60 inferred."
source_url,Volkswagen,ID.3,VW ID.3,https://www.volkswagen.se/sv/elbilar/vara-elbilar/id3.html,manufacturer_model_page,verified_reachable,high,true,"Verified directly. Page heading: ""Volkswagen ID.3 Neo""."
source_url,Volkswagen,ID.3,VW ID.3,https://www.volkswagen.se/sv/elbilar/vara-elbilar/id3/konfigurator.html,manufacturer_configurator,pattern_inferred,low,false,"Configurator subpath inferred — verify or use central bygg-din-bil portal."
source_url,Ford,Explorer,FORD EXPLORER,https://ford.se/personbilar/elektriska-explorer,manufacturer_model_page,verified_via_search,high,true,"Verified. Stable Ford SE URL."
source_url,Ford,Explorer,FORD EXPLORER,https://ford.se/personbilar/elektriska-explorer/versioner,manufacturer_specs_page,verified_via_search,high,true,"Versions page with specs."
source_url,Ford,Explorer,FORD EXPLORER,https://ford.se/brochures_and_pricelists/31,manufacturer_price_list,verified_via_search,high,true,"Stable car_model_id=31 endpoint. Strong structure for automation."
source_url,Ford,Explorer,FORD EXPLORER,https://ford.se/configurators/new?car_model_id=31,manufacturer_configurator,verified_via_search,high,conditional,"Same car_model_id pattern. Configurator requires JS."
source_url,Cupra,Born,CUPRA BORN,https://www.cupraofficial.se/bilar/born,manufacturer_model_page,verified_via_search,high,true,"Verified. Domain is cupraofficial.se (not cupra.se)."
source_url,Cupra,Born,CUPRA BORN,https://www.cupraofficial.se/bilar/born/versioner-och-utrustning,manufacturer_specs_page,verified_via_search,high,true,"Combined versions/equipment page."
source_url,Cupra,Born,CUPRA BORN,https://www.cupraofficial.se/bilar/born/versioner-och-utrustning,manufacturer_configurator,verified_via_search,high,true,"Same page acts as version selector."
source_url,Zeekr,7X,ZEEKR 7X,https://www.zeekr.eu/sv-se/models/7x,manufacturer_model_page,verified_via_search,high,true,"Verified. Pan-EU domain with sv-se locale (no zeekr.se exists)."
source_url,Zeekr,7X,ZEEKR 7X,https://www.zeekr.eu/sv-se/models/7x/specifications,manufacturer_specs_page,pattern_inferred,medium,conditional,"Subpath inferred — verify or use main page DOM."
source_url,Zeekr,7X,ZEEKR 7X,https://www.zeekr.eu/sv-se/models/7x/configure,manufacturer_configurator,pattern_inferred,medium,conditional,"Subpath inferred."
source_url,Audi,Q6 e-tron,AUDI Q6 E-TRON,https://www.audi.se/sv/models/q6-e-tron/,manufacturer_model_page,verified_via_search,high,true,"Verified via Google. Top-level group page."
source_url,Audi,Q6 e-tron,AUDI Q6 E-TRON,https://www.audi.se/sv/models/q6-e-tron/q6-e-tron/,manufacturer_specs_page,verified_via_search,high,true,"Verified detail page (Q6 SUV e-tron Highlights)."
source_url,Audi,Q6 e-tron,AUDI Q6 E-TRON,https://www.audi.se/sv/models/q6-e-tron/q6-e-tron/designa/,manufacturer_configurator,pattern_inferred,medium,conditional,"Inferred /designa/ subpath."
source_url,Kia,EV4,KIA EV4,https://www.kia.com/se/nya-bilar/ev4/upptack/,manufacturer_model_page,pattern_inferred,high,true,"Same Kia pattern."
source_url,Kia,EV4,KIA EV4,https://www.kia.com/se/nya-bilar/ev4/specifikationer/,manufacturer_specs_page,pattern_inferred,high,true,"Same Kia pattern."
source_url,Kia,EV4,KIA EV4,https://www.kia.com/se/kopa/prislista/,manufacturer_price_list,verified_reachable,high,true,"Shared Kia price list."
source_url,Kia,EV4,KIA EV4,https://www.kia.com/se/kopa/bygg-din-kia/#/ev4,manufacturer_configurator,pattern_inferred,high,true,"Same Kia pattern."
source_url,Polestar,2,POLESTAR 2,https://www.polestar.com/se/polestar-2/,manufacturer_model_page,pattern_inferred,high,true,"Polestar pattern verified via Polestar 4. High pattern confidence."
source_url,Polestar,2,POLESTAR 2,https://www.polestar.com/se/polestar-2/specifications/,manufacturer_specs_page,pattern_inferred,high,true,"Same Polestar pattern."
source_url,Polestar,2,POLESTAR 2,https://www.polestar.com/se/polestar-2/order/,manufacturer_configurator,pattern_inferred,high,true,"Same Polestar pattern."
source_url,Volvo,ES90,VOLVO ES90,https://www.volvocars.com/se/cars/es90-electric/,manufacturer_model_page,verified_via_search,high,conditional,"Verified via Google. Volvo blocks scrapers."
source_url,Volvo,ES90,VOLVO ES90,https://www.volvocars.com/se/cars/es90-electric/specifications/,manufacturer_specs_page,verified_via_search,high,conditional,"Verified pattern."
source_url,Volvo,ES90,VOLVO ES90,https://www.volvocars.com/se/build/es90-electric/,manufacturer_configurator,pattern_inferred,high,conditional,"Volvo /build/ pattern. Blocks scrapers."
source_url,Mazda,6e,MAZDA 6E,https://www.mazda.se/modeller/mazda-6e/,manufacturer_model_page,verified_via_search,high,true,"Verified."
source_url,Mazda,6e,MAZDA 6E,https://www.mazda.se/modeller/mazda-6e/specifikationer-och-jamforelser/,manufacturer_specs_page,verified_via_search,high,true,"Dedicated specs/comparison page."
source_url,Mazda,6e,MAZDA 6E,https://www.mazda.se/bygg-din-mazda/MAZDA_6e/5HB/,manufacturer_configurator,verified_via_search,high,conditional,"Configurator with body code (5HB = 5-door hatchback)."
source_url,Skoda,Elroq,SKODA ELROQ,https://www.skoda.se/modeller/elroq/,manufacturer_model_page,verified_reachable,high,true,"Verified directly."
source_url,Skoda,Elroq,SKODA ELROQ,https://www.skoda.se/_doc/{uuid},manufacturer_price_list,unstable_dynamic,low,false,"Placeholder — actual UUID rotates. Discovery script must scrape model page DOM for current PDF link each run."
source_url,Skoda,Elroq,SKODA ELROQ,https://clg.skoda-auto.com,manufacturer_configurator,verified_reachable,medium,conditional,"Shared external Skoda configurator domain."
source_url,Renault,Scenic E-Tech,RENAULT SCENIC,https://www.renault.se/personbilar/elbilar/scenic-e-tech-electric,manufacturer_model_page,pattern_inferred,medium,conditional,"Pattern inferred from Renault 5 E-Tech (verified). Verify URL before extraction."
source_url,Renault,Scenic E-Tech,RENAULT SCENIC,https://www.renault.se/personbilar/elbilar/scenic-e-tech-electric/versioner_och_priser,manufacturer_price_list,pattern_inferred,medium,conditional,"Pattern inferred from Renault 5 E-Tech."
source_url,Volkswagen,ID. Buzz,VW ID. BUZZ,https://www.volkswagen.se/sv/elbilar/vara-elbilar/id-buzz.html,manufacturer_model_page,url_corrected,high,true,"Corrected: original /modeller/id-buzz.html returns 404. Actual URL is /elbilar/vara-elbilar/id-buzz.html (under same path as ID.3, ID.4, ID.7 sedan). Verified via Google."
source_url,Volvo,EX90,VOLVO EX90,https://www.volvocars.com/se/cars/ex90-electric/,manufacturer_model_page,verified_via_search,high,conditional,"Verified. Blocks scrapers."
source_url,Volvo,EX90,VOLVO EX90,https://www.volvocars.com/se/cars/ex90-electric/specifications/,manufacturer_specs_page,verified_via_search,high,conditional,"Verified pattern."
source_url,Volvo,EX90,VOLVO EX90,https://www.volvocars.com/se/build/ex90-electric/,manufacturer_configurator,pattern_inferred,high,conditional,"Volvo /build/ pattern."
source_url,BMW,iX,BMW IX,https://bmw.se/sv/alla-modeller/bmw-i/bmw-ix/2021/bmw-ix.html,manufacturer_model_page,url_corrected,medium,conditional,"Corrected: actual URL has /2021/ year segment and bmw-ix subpath (not /ix/). Year segment may rotate at model refresh — verify each run."
source_url,BMW,iX,BMW IX,https://www.bmw.se/sv/alla-modeller/bmw-i/ix/tekniska-data.html,manufacturer_specs_page,pattern_inferred,low,false,"Original specs URL pattern uncertain given the year-segment correction above. Re-verify."
source_url,BMW,iX,BMW IX,https://hitta.bmw.se/r/I20-iX,manufacturer_configurator,pattern_inferred,medium,conditional,"Generation code I20 inferred."
source_url,MG,MG4,MG MG4 ELECTRIC,https://www.mgmotor.eu/sv-SE/model/mg4,manufacturer_model_page,verified_via_search,high,true,"Verified. Pan-EU domain (mg.se is thin landing). Hedin Mobility is Swedish importer."
source_url,MG,MG4,MG MG4 ELECTRIC,https://www.mgmotor.eu/sv-SE/model/mg4/specifications,manufacturer_specs_page,pattern_inferred,medium,conditional,"Subpath inferred."
source_url,MG,MG4,MG MG4 ELECTRIC,https://www.mgmotor.eu/sv-SE/model/mg4/configurator,manufacturer_configurator,pattern_inferred,medium,conditional,"Subpath inferred."
source_url,Mercedes-Benz,EQE Sedan,MERCEDES EQE,https://www.mercedes-benz.se/passengercars/models/saloon/eqe/overview.html,manufacturer_model_page,verified_via_search,high,true,"Verified Sedan URL via Google."
source_url,Mercedes-Benz,EQE Sedan,MERCEDES EQE,https://www.mercedes-benz.se/passengercars/models/saloon/eqe/specifications.html,manufacturer_specs_page,pattern_inferred,medium,conditional,"Subpath inferred from /overview.html."
source_url,Mercedes-Benz,EQE Sedan,MERCEDES EQE,https://www.mercedes-benz.se/passengercars/buy/new-car/configurator.html,manufacturer_configurator,verified_via_search,medium,conditional,"Shared Mercedes configurator entry."
source_url,Mercedes-Benz,EQE SUV,MERCEDES EQE,https://www.mercedes-benz.se/passengercars/models/suv/eqe/overview.html,manufacturer_model_page,verified_via_search,high,true,"Verified via Google. Split from Sedan canonical — separate body type path."
source_url,Mercedes-Benz,EQE SUV,MERCEDES EQE,https://www.mercedes-benz.se/passengercars/models/suv/eqe/specifications.html,manufacturer_specs_page,pattern_inferred,medium,conditional,"Inferred from /overview.html."
source_url,Mercedes-Benz,EQE SUV,MERCEDES EQE,https://www.mercedes-benz.se/passengercars/buy/new-car/configurator.html,manufacturer_configurator,verified_via_search,medium,conditional,"Shared configurator."
