brand,model,source_type,url,title,country,language,extraction_status,extraction_confidence,needs_mapping,notes
Kia,EV9,price_list,https://www.kia.com/se/kopa/prislista/,Kia Sweden price list (all models),SE,sv,verified,high,false,
Kia,EV9,configurator,https://www.kia.com/se/kopa/bygg-din-kia/#/ev9,Kia EV9 configurator,SE,sv,verified,high,false,
Mercedes-Benz,EQA,model_page,https://www.mercedes-benz.se/passengercars/models/suv/eqa/overview.html,Mercedes-Benz EQA Swedish model page,SE,sv,verified,high,false,
Mercedes-Benz,EQA,specs_page,https://www.mercedes-benz.se/passengercars/models/suv/eqa/specifications.html,Mercedes-Benz EQA specifications,SE,sv,needs_review,medium,false,"Pattern inferred."
Mercedes-Benz,EQA,configurator,https://www.mercedes-benz.se/passengercars/buy/new-car/configurator.html,Mercedes-Benz configurator,SE,sv,needs_review,medium,false,"Shared configurator entry across models."
Renault,5 E-Tech,model_page,https://www.renault.se/personbilar/elbilar/r5-e-tech-electric,Renault 5 E-Tech Electric Swedish model page,SE,sv,verified,high,false,
Renault,5 E-Tech,price_list,https://www.renault.se/personbilar/elbilar/r5-e-tech-electric/versioner_och_priser,Renault 5 E-Tech versions and prices,SE,sv,verified,high,false,"Combined specs + price page."
Renault,5 E-Tech,specs_page,https://www.renault.se/personbilar/elbilar/r5-e-tech-electric/versioner_och_priser,Renault 5 E-Tech specifications,SE,sv,verified,high,false,
BMW,iX1,model_page,https://www.bmw.se/sv/alla-modeller/i-series/ix1/bmw-ix1.html,BMW iX1 Swedish model page,SE,sv,verified,high,false,
BMW,iX1,specs_page,https://www.bmw.se/sv/alla-modeller/bmw-i/iX1/tekniska-data.html,BMW iX1 technical data,SE,sv,verified,high,false,"BMW SE has split path scheme: i-series and bmw-i used inconsistently."
BMW,iX1,configurator,https://hitta.bmw.se/r/U11-iX1,BMW iX1 configurator and availability,SE,sv,verified,high,false,"Configurator on hitta.bmw.se subdomain."
Mercedes-Benz,CLA EQ,model_page,https://www.mercedes-benz.se/passengercars/models/saloon/cla/overview.html,Mercedes-Benz CLA Swedish model page,SE,sv,needs_review,medium,true,"Mobility Sweden ""CLA"" likely refers to CLA with EQ Technology (electric); confirm vs ICE."
Mercedes-Benz,CLA EQ,fleet_page,https://www.mercedes-benz.se/passengercars/cars-guide/fleet-business/modeller/cla-eq.html,Mercedes-Benz CLA with EQ Technology fleet page,SE,sv,verified,high,true,"Specifies the EQ (electric) variant."
Tesla,Model 3,model_page,https://www.tesla.com/sv_SE/model3,Tesla Model 3 Swedish model page,SE,sv,verified,high,false,"Tesla returns 403 on direct fetch."
Tesla,Model 3,configurator,https://www.tesla.com/sv_SE/model3/design,Tesla Model 3 configurator,SE,sv,verified,high,false,
BMW,iX3,model_page,https://www.bmw.se/sv/alla-modeller/x-serie/ix3/bmw-ix3.html,BMW iX3 Swedish model page,SE,sv,verified,high,false,"New 2026 Neue Klasse model; under x-serie not bmw-i."
BMW,iX3,specs_page,https://www.bmw.se/sv/alla-modeller/x-serie/ix3/bmw-ix3-tekniska-data.html,BMW iX3 technical data,SE,sv,verified,high,false,
BMW,iX3,configurator,https://hitta.bmw.se/r/NA5-iX3,BMW iX3 configurator,SE,sv,verified,high,false,
Kia,EV6,model_page,https://www.kia.com/se/nya-bilar/ev6/upptack/,Kia EV6 Swedish model page,SE,sv,verified,high,false,
Kia,EV6,specs_page,https://www.kia.com/se/nya-bilar/ev6/specifikationer/,Kia EV6 specifications,SE,sv,verified,high,false,
Kia,EV6,price_list,https://www.kia.com/se/kopa/prislista/,Kia Sweden price list,SE,sv,verified,high,false,
Kia,EV6,configurator,https://www.kia.com/se/kopa/bygg-din-kia/#/ev6,Kia EV6 configurator,SE,sv,verified,high,false,
Audi,Q4 e-tron,model_page,https://www.audi.se/sv/models/q4-e-tron/,Audi Q4 e-tron Swedish model page,SE,sv,verified,high,false,
Audi,Q4 e-tron,specs_page,https://www.audi.se/sv/models/q4-e-tron/q4-e-tron/,Audi Q4 e-tron details,SE,sv,verified,high,false,"Sportback variant under same model group."
Audi,Q4 e-tron,configurator,https://www.audi.se/sv/models/q4-e-tron/q4-e-tron/designa/,Audi Q4 e-tron configurator,SE,sv,verified,high,false,
Audi,A6 e-tron,model_page,https://www.audi.se/sv/models/a6-e-tron/,Audi A6 e-tron Swedish model page,SE,sv,needs_review,medium,false,"Pattern inferred from Q4 e-tron."
Audi,A6 e-tron,specs_page,https://www.audi.se/sv/models/a6-e-tron/a6-e-tron/,Audi A6 e-tron details,SE,sv,needs_review,medium,false,
Audi,A6 e-tron,configurator,https://www.audi.se/sv/models/a6-e-tron/a6-e-tron/designa/,Audi A6 e-tron configurator,SE,sv,needs_review,medium,false,
BMW,i4,model_page,https://www.bmw.se/sv/alla-modeller/bmw-i/i4/bmw-i4.html,BMW i4 Swedish model page,SE,sv,needs_review,medium,false,
BMW,i4,specs_page,https://www.bmw.se/sv/alla-modeller/bmw-i/i4/tekniska-data.html,BMW i4 technical data,SE,sv,needs_review,medium,false,
BMW,i4,configurator,https://hitta.bmw.se/r/G26-i4,BMW i4 configurator,SE,sv,needs_review,medium,false,
BMW,i5,model_page,https://www.bmw.se/sv/alla-modeller/5-serie/i5-sedan/bmw-i5-sedan.html,BMW i5 Swedish model page,SE,sv,needs_review,medium,false,"i5 under 5-serie not bmw-i."
BMW,i5,specs_page,https://www.bmw.se/sv/alla-modeller/5-serie/i5-sedan/bmw-i5-sedan-tekniska-data.html,BMW i5 technical data,SE,sv,needs_review,medium,false,
BMW,i5,configurator,https://hitta.bmw.se/r/G60-i5,BMW i5 configurator,SE,sv,needs_review,medium,false,
Volkswagen,ID.3,model_page,https://www.volkswagen.se/sv/elbilar/vara-elbilar/id3.html,Volkswagen ID.3 Swedish model page,SE,sv,needs_review,medium,false,"Pattern inferred from ID.7."
Volkswagen,ID.3,configurator,https://www.volkswagen.se/sv/elbilar/vara-elbilar/id3/konfigurator.html,Volkswagen ID.3 configurator,SE,sv,needs_review,medium,false,
Ford,Explorer,model_page,https://ford.se/personbilar/elektriska-explorer,Ford Explorer EV Swedish model page,SE,sv,verified,high,false,
Ford,Explorer,specs_page,https://ford.se/personbilar/elektriska-explorer/versioner,Ford Explorer versions/specs,SE,sv,verified,high,false,
Ford,Explorer,price_list,https://ford.se/brochures_and_pricelists/31,Ford Explorer brochures and price lists,SE,sv,verified,high,false,"Stable car_model_id pattern."
Ford,Explorer,configurator,https://ford.se/configurators/new?car_model_id=31,Ford Explorer configurator,SE,sv,verified,high,false,
Cupra,Born,model_page,https://www.cupraofficial.se/bilar/born,Cupra Born Swedish model page,SE,sv,verified,high,false,"Domain is cupraofficial.se (not cupra.se)."
Cupra,Born,specs_page,https://www.cupraofficial.se/bilar/born/versioner-och-utrustning,Cupra Born versions and equipment,SE,sv,verified,high,false,
Cupra,Born,configurator,https://www.cupraofficial.se/bilar/born/versioner-och-utrustning,Cupra Born configurator,SE,sv,verified,high,false,
Zeekr,7X,model_page,https://www.zeekr.eu/sv-se/models/7x,Zeekr 7X Swedish model page (pan-EU domain),SE,sv,verified,high,false,"Pan-EU domain with sv-se locale; no zeekr.se."
Zeekr,7X,specs_page,https://www.zeekr.eu/sv-se/models/7x/specifications,Zeekr 7X specifications,SE,sv,needs_review,medium,false,
Zeekr,7X,configurator,https://www.zeekr.eu/sv-se/models/7x/configure,Zeekr 7X configurator,SE,sv,needs_review,medium,false,
Audi,Q6 e-tron,model_page,https://www.audi.se/sv/models/q6-e-tron/,Audi Q6 e-tron Swedish model page,SE,sv,needs_review,medium,false,"Pattern inferred from Q4 e-tron."
Audi,Q6 e-tron,specs_page,https://www.audi.se/sv/models/q6-e-tron/q6-e-tron/,Audi Q6 e-tron details,SE,sv,needs_review,medium,false,
Audi,Q6 e-tron,configurator,https://www.audi.se/sv/models/q6-e-tron/q6-e-tron/designa/,Audi Q6 e-tron configurator,SE,sv,needs_review,medium,false,
Kia,EV4,model_page,https://www.kia.com/se/nya-bilar/ev4/upptack/,Kia EV4 Swedish model page,SE,sv,verified,high,false,
Kia,EV4,specs_page,https://www.kia.com/se/nya-bilar/ev4/specifikationer/,Kia EV4 specifications,SE,sv,verified,high,false,
Kia,EV4,price_list,https://www.kia.com/se/kopa/prislista/,Kia Sweden price list,SE,sv,verified,high,false,
Kia,EV4,configurator,https://www.kia.com/se/kopa/bygg-din-kia/#/ev4,Kia EV4 configurator,SE,sv,verified,high,false,
Polestar,2,model_page,https://www.polestar.com/se/polestar-2/,Polestar 2 Swedish model page,SE,sv,verified,high,false,
Polestar,2,specs_page,https://www.polestar.com/se/polestar-2/specifications/,Polestar 2 specifications,SE,sv,verified,high,false,
Polestar,2,configurator,https://www.polestar.com/se/polestar-2/order/,Polestar 2 order/configurator,SE,sv,verified,high,false,
Volvo,ES90,model_page,https://www.volvocars.com/se/cars/es90-electric/,Volvo ES90 Swedish model page,SE,sv,verified,high,false,"Volvo's first 800V model."
Volvo,ES90,specs_page,https://www.volvocars.com/se/cars/es90-electric/specifications/,Volvo ES90 specifications,SE,sv,verified,high,false,
Volvo,ES90,configurator,https://www.volvocars.com/se/build/es90-electric/,Volvo ES90 build,SE,sv,verified,high,false,
Mazda,6e,model_page,https://www.mazda.se/modeller/mazda-6e/,Mazda 6e Swedish model page,SE,sv,verified,high,false,
Mazda,6e,specs_page,https://www.mazda.se/modeller/mazda-6e/specifikationer-och-jamforelser/,Mazda 6e specifications and comparisons,SE,sv,verified,high,false,
Mazda,6e,configurator,https://www.mazda.se/bygg-din-mazda/MAZDA_6e/5HB/,Mazda 6e configurator,SE,sv,verified,high,false,
Skoda,Elroq,model_page,https://www.skoda.se/modeller/elroq/,Skoda Elroq Swedish model page,SE,sv,needs_review,medium,false,"Pattern inferred from Enyaq."
Skoda,Elroq,configurator,https://clg.skoda-auto.com,Skoda configurator (cross-EU domain),SE,sv,needs_review,medium,false,
Renault,Scenic E-Tech,model_page,https://www.renault.se/personbilar/elbilar/scenic-e-tech-electric,Renault Scenic E-Tech Electric Swedish model page,SE,sv,needs_review,medium,true,"Mobility Sweden ""Scenic"" maps to Scenic E-Tech electric (the EV)."
Renault,Scenic E-Tech,price_list,https://www.renault.se/personbilar/elbilar/scenic-e-tech-electric/versioner_och_priser,Renault Scenic E-Tech versions and prices,SE,sv,needs_review,medium,true,
Volkswagen,ID. Buzz,model_page,https://www.volkswagen.se/sv/modeller/id-buzz.html,Volkswagen ID. Buzz Swedish model page,SE,sv,needs_review,medium,false,"Inconsistent VW pattern: under /modeller/ with hyphenated id-buzz."
Volkswagen,ID. Buzz,configurator,https://www.volkswagen.se/sv/modeller/id-buzz/konfigurator.html,Volkswagen ID. Buzz configurator,SE,sv,needs_review,medium,false,
Volvo,EX90,model_page,https://www.volvocars.com/se/cars/ex90-electric/,Volvo EX90 Swedish model page,SE,sv,verified,high,false,
Volvo,EX90,specs_page,https://www.volvocars.com/se/cars/ex90-electric/specifications/,Volvo EX90 specifications,SE,sv,verified,high,false,
Volvo,EX90,configurator,https://www.volvocars.com/se/build/ex90-electric/,Volvo EX90 build,SE,sv,verified,high,false,
BMW,iX,model_page,https://www.bmw.se/sv/alla-modeller/bmw-i/ix/bmw-ix.html,BMW iX Swedish model page,SE,sv,needs_review,medium,false,"Older Klassisches model — verify URL."
BMW,iX,specs_page,https://www.bmw.se/sv/alla-modeller/bmw-i/ix/tekniska-data.html,BMW iX technical data,SE,sv,needs_review,medium,false,
BMW,iX,configurator,https://hitta.bmw.se/r/I20-iX,BMW iX configurator,SE,sv,needs_review,medium,false,
MG,MG4,model_page,https://www.mgmotor.eu/sv-SE/model/mg4,MG4 Swedish model page (pan-EU domain),SE,sv,verified,medium,false,"mg.se is a thin landing; product info on mgmotor.eu/sv-SE. Hedin Mobility is Swedish importer."
MG,MG4,specs_page,https://www.mgmotor.eu/sv-SE/model/mg4/specifications,MG4 specifications,SE,sv,needs_review,medium,false,
MG,MG4,configurator,https://www.mgmotor.eu/sv-SE/model/mg4/configurator,MG4 configurator,SE,sv,needs_review,medium,false,
Mercedes-Benz,EQE Sedan,model_page,https://www.mercedes-benz.se/passengercars/models/saloon/eqe/overview.html,Mercedes-Benz EQE Sedan Swedish model page,SE,sv,verified,high,false,"EQE SUV has separate URL under /suv/eqe/."
Mercedes-Benz,EQE Sedan,specs_page,https://www.mercedes-benz.se/passengercars/models/saloon/eqe/specifications.html,Mercedes-Benz EQE specifications,SE,sv,needs_review,medium,false,
Mercedes-Benz,EQE Sedan,configurator,https://www.mercedes-benz.se/passengercars/buy/new-car/configurator.html,Mercedes-Benz configurator,SE,sv,needs_review,medium,false,
Mercedes-Benz,EQE SUV,model_page,https://www.mercedes-benz.se/passengercars/models/suv/eqe/overview.html,Mercedes-Benz EQE SUV Swedish model page,SE,sv,verified,high,false,"Split from Sedan canonical — separate URL under /suv/."
Mercedes-Benz,EQE SUV,specs_page,https://www.mercedes-benz.se/passengercars/models/suv/eqe/specifications.html,Mercedes-Benz EQE SUV specifications,SE,sv,needs_review,medium,false,
Mercedes-Benz,EQE SUV,configurator,https://www.mercedes-benz.se/passengercars/buy/new-car/configurator.html,Mercedes-Benz configurator,SE,sv,needs_review,medium,false,
