batch_order,brand,model,source_type,url,source_domain,research_rank,research_confidence,content_hash,content_type,source_validation,preflight_status,source_text_path,extraction_status,batch_reason
11,BMW,i5,manufacturer_rendered_model_page,https://www.bmw.se/sv/alla-modeller/bmw-i/i5/bmw-i5-tekniska-data.html,bmw.se,20,high,8c04ba6ee4fea49cbf5954bb107b5390fdf67d61e834c66a21fdb0b464980ee5,text/plain; rendered,reachable_official_model_source,ready_for_ai_extraction,C:\Users\rober\OneDrive\Dokumentet\New project\swedish-ev-advisor\data\extraction\rendered_source_texts\20-bmw-i5-8c04ba6ee4.txt,ready_for_ai_extraction,browser_rendered_official_source
12,Audi,Q6 E-Tron,manufacturer_rendered_model_page,https://www.audi.se/se/web/sv/models/q6-e-tron/q6-e-tron.html,audi.se,25,high,fb000447821be6c1ced530f5552cf7b257d3112c2a6f4068da28511654bd4d6b,text/plain; rendered,reachable_official_model_source,ready_for_ai_extraction,C:\Users\rober\OneDrive\Dokumentet\New project\swedish-ev-advisor\data\extraction\rendered_source_texts\25-audi-q6-e-tron-fb00044782.txt,ready_for_ai_extraction,browser_rendered_official_source
13,Volvo,Es90,manufacturer_rendered_model_page,https://www.volvocars.com/se/cars/es90-electric/,volvocars.com,28,high,d21ef4cb0d7d8cf3eaa15d4a4b2f79cec1ad88562c66ccbe79aaf2f2bb610814,text/plain; rendered,reachable_official_model_source,ready_for_ai_extraction,C:\Users\rober\OneDrive\Dokumentet\New project\swedish-ev-advisor\data\extraction\rendered_source_texts\28-volvo-es90-d21ef4cb0d.txt,ready_for_ai_extraction,browser_rendered_official_source
14,Mazda,6E,manufacturer_rendered_model_page,https://www.mazda.se/modeller/mazda-6e/specifikationer-och-jamforelser/,mazda.se,29,high,a80c5b951a2d224aef4cc255e5143b3a0c61bd275ead46dad67e6a057a0ef6ad,text/plain; rendered,reachable_official_model_source,ready_for_ai_extraction,C:\Users\rober\OneDrive\Dokumentet\New project\swedish-ev-advisor\data\extraction\rendered_source_texts\29-mazda-6e-a80c5b951a.txt,ready_for_ai_extraction,browser_rendered_official_source
15,Tesla,Model Y,manufacturer_indexed_model_page,https://www.tesla.com/sv_SE/modely?redirect=no,tesla.com,1,high,ccd9c8edc0324326574c19be39215128d8dc337f878b469a7df8e667501fec95,text/plain; official indexed source packet,reachable_official_model_source,ready_for_ai_extraction,C:\Users\rober\OneDrive\Dokumentet\New project\swedish-ev-advisor\data\extraction\rendered_source_texts\01-tesla-model-y-ccd9c8edc0.txt,ready_for_ai_extraction,official_indexed_source_packet
16,Tesla,Model 3,manufacturer_indexed_model_page,https://www.tesla.com/sv_SE/model3,tesla.com,14,high,af30316174de440c84ca5b55cb8823c8e3a261ac767d50a000b3bb6323534f0a,text/plain; official indexed source packet,reachable_official_model_source,ready_for_ai_extraction,C:\Users\rober\OneDrive\Dokumentet\New project\swedish-ev-advisor\data\extraction\rendered_source_texts\14-tesla-model-3-af30316174.txt,ready_for_ai_extraction,official_indexed_source_packet
17,Mercedes-Benz,EQA,manufacturer_indexed_model_page,https://www.mercedes-benz.se/passengercars/mercedes-benz-cars/models/eqa/explore.html?urlReference=937cb25de1b4467c85b1a4b7fcb32810,mercedes-benz.se,10,high,fe86b5985ccbb9e50fcb8d3bb3411194d064b7fd2cd6f196054c2cff405b5467,text/plain; official indexed source packet,reachable_official_model_source,ready_for_ai_extraction,C:\Users\rober\OneDrive\Dokumentet\New project\swedish-ev-advisor\data\extraction\rendered_source_texts\10-mercedes-benz-eqa-fe86b5985c.txt,ready_for_ai_extraction,official_indexed_source_packet
18,Toyota,bZ4X,manufacturer_official_override_source,https://www.toyota.se/content/dam/toyota/nmsc/sweden/prislista/bZ4X%20Cirkaprislista%202024-08-01%20%28MY23%29.pdf,toyota.se,,high,cb8f90a11d369e07563c5bcde82ff56b98d9b90b59eeefa518fae8c10b2abc6c,text/plain; official override source packet,reachable_official_model_source,ready_for_ai_extraction,C:\Users\rober\OneDrive\Dokumentet\New project\swedish-ev-advisor\data\extraction\rendered_source_texts\override-toyota-bz4x-cb8f90a11d.txt,ready_for_ai_extraction,official_override_source_packet
19,Skoda,Elroq,manufacturer_official_override_source,https://www.skoda.se/_doc/ec8b0854-d72e-4c53-8678-3b189a5388eb,skoda.se,,high,98713bdda4488f63f1b9f7611e103aaee9f0fc89ce5e4f5b575faaeae25a737f,text/plain; official override source packet,reachable_official_model_source,ready_for_ai_extraction,C:\Users\rober\OneDrive\Dokumentet\New project\swedish-ev-advisor\data\extraction\rendered_source_texts\override-skoda-elroq-98713bdda4.txt,ready_for_ai_extraction,official_override_source_packet
20,Ford,Explorer,manufacturer_official_override_source,https://ford.se/personbilar/elektriska-explorer,ford.se,,high,11af9e18e459fd9f37ecfd2c8d99bd3ca5bb5004df8d356de95888f8599cc877,text/plain; official override source packet,reachable_official_model_source,ready_for_ai_extraction,C:\Users\rober\OneDrive\Dokumentet\New project\swedish-ev-advisor\data\extraction\rendered_source_texts\override-ford-explorer-11af9e18e4.txt,ready_for_ai_extraction,official_override_source_packet
21,Kia,EV4,manufacturer_official_override_source,https://www.kia.com/se/nya-bilar/ev4/upptack/,kia.com,,high,44c90599e6bb24b83ff751958efea07623ca8f1bbbc40044cd55eb3d80b499c3,text/plain; official override source packet,reachable_official_model_source,ready_for_ai_extraction,C:\Users\rober\OneDrive\Dokumentet\New project\swedish-ev-advisor\data\extraction\rendered_source_texts\override-kia-ev4-44c90599e6.txt,ready_for_ai_extraction,official_override_source_packet
